intent_name,description,example_text
prime_subscription,"Questions, complaints, or billing issues specifically regarding the Amazon Prime subscription or its digital services (like Prime Video).",Dear @115850 please refund prime membership fee as you r unable to deliver in time boasted by you as..'2 day Guarantee Delivery' by ATS
thank_you,Customer is confirming an issue is resolved or thanking support.,@AmazonHelp Thanks for replying! Would I possibly be able to get the @117344 Twitch Loot using it or nah?
thank_you,Customer is confirming an issue is resolved or thanking support.,"Thanks for ruining my excitement to buy One+5@amazonIN. The delivery executive made 2 wrong remarks within the same day and I did not get my 33000 worth of prepaid shipment. PFA screenshot, could the address be any more complete? what's wrong with 9954374782? Shitty Experience! https://t.co/5gAEVr9jUa"
thank_you,Customer is confirming an issue is resolved or thanking support.,In a foul mood thanks to @115830 not delivering my order on time. Happy Sunday to me - NOT 😡😡😡
thank_you,Customer is confirming an issue is resolved or thanking support.,@AmazonHelp @115850 I'm trying to buy an OTG but it says nor deliverable in Mumbai. Please help. Thanks.
thank_you,Customer is confirming an issue is resolved or thanking support.,@AmazonHelp Thanks
general_unclear,"Vague complaints, threats to leave, or generic calls for help without specific actionable details.",@115850 I am not able to trace cancelling option for my order. Please help as the delivery time mentioned is too long
general_unclear,"Vague complaints, threats to leave, or generic calls for help without specific actionable details.",@115821 There was once a time where I was quite fond of Amazons customer service and overall quality. This has ruined it for me. This link is just one review of many. Currently consumer affairs and multiple other sites are in the progress of publishing. https://t.co/jycUxRO3i2
general_unclear,"Vague complaints, threats to leave, or generic calls for help without specific actionable details.",Tried reaching out to @115850 customer service to raise an issue but all you get in return is the ivr with the order status
general_unclear,"Vague complaints, threats to leave, or generic calls for help without specific actionable details.",@AmazonHelp Yes had an email yesterday to reset my account but no info on my refund or my other order - customer services say they are unable to help with this info??
general_unclear,"Vague complaints, threats to leave, or generic calls for help without specific actionable details.","Three emails later and @115850 support is still beating around the bush about why they're now asking for only Aadhaar. Hey @115851, this is not the customer service we've gotten used to the past couple of years. 😑 https://t.co/qmGOpPXQAv"
